Cell Typeold,Effect ID,Platform,Experiment ID,Term,platform_id,comparison_id,Estimate Up Down,stage,Group Size,Disease Name,fdr,significant
dendritic cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.003515625,TRUE
plasmacytoid dendritic cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.007324219,TRUE
mast cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.007324219,TRUE
BEST4+ intestinal epithelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.025048828,TRUE
migratory conventional dendritic cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.031389509,TRUE
transit amplifying cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.070988582,TRUE
malignant immature intestine goblet cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.070988582,TRUE
S2 fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.100760324,FALSE
mature B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.151012074,FALSE
germinal center B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.151012074,FALSE
artery endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.151012074,FALSE
conventional dendritic cell 1,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.174488741,FALSE
effector memory CD8+ T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.188846073,FALSE
"CD8-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.188846073,FALSE
T-helper 17 cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.396794017,FALSE
malignant enteroendocrine cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.595786237,FALSE
capillary endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.731425781,FALSE
lymphatic endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.776539522,FALSE
naive B cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.821439303,FALSE
endothelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Down,datasets,12 | 12,io_colorectal_cancer,0.866137235,FALSE
malignant intestinal epithelial cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
malignant enterocyte,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.002197266,TRUE
regulatory T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.007324219,TRUE
gamma-delta T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.013877467,TRUE
natural killer cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.049295177,TRUE
endothelial tip cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.049295177,TRUE
pericyte,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.060424805,TRUE
malignant intestinal tuft cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.100760324,FALSE
innate lymphoid cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.115136719,FALSE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.115136719,FALSE
T follicular helper cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.188846073,FALSE
naive CD8+ T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.396794017,FALSE
monocyte,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.396794017,FALSE
"effector memory CD4-positive, alpha-beta T cell",tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.396794017,FALSE
T-cytotoxic 17 cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.477675327,FALSE
cancer associated fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.477675327,FALSE
intestinal tuft cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.576482599,FALSE
macrophage,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.595786237,FALSE
fibroblast,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.595786237,FALSE
Schwann cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.685546875,FALSE
naive CD4+ T cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.685546875,FALSE
T peripheral helper,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.969726563,FALSE
intestinal epithelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,6.73E-23,TRUE
enterocyte,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,9.26E-20,TRUE
transit amplifying cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.08E-19,TRUE
enteroendocrine cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.13E-17,TRUE
S2 fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,3.04E-15,TRUE
malignant enteroendocrine cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.01E-14,TRUE
immature intestine goblet cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.15E-11,TRUE
dendritic cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.45E-11,TRUE
BEST4+ intestinal epithelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,9.30E-11,TRUE
intestine goblet cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.04E-09,TRUE
smooth muscle cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,6.29E-08,TRUE
conventional dendritic cell 2,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.24E-07,TRUE
plasmacytoid dendritic cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.45E-05,TRUE
conventional dendritic cell 1,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.94E-05,TRUE
effector memory CD8+ T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,4.08E-05,TRUE
"CD8-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,4.08E-05,TRUE
Schwann cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,4.41E-05,TRUE
lymphatic endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000213913,TRUE
artery endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000352383,TRUE
malignant intestine goblet cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000532475,TRUE
T-cytotoxic 17 cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000567958,TRUE
"effector memory CD4-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000845532,TRUE
mast cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.001497734,TRUE
S3 fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.009350085,TRUE
plasma cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.032134764,TRUE
naive CD4+ T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.033946944,TRUE
naive B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.033946944,TRUE
malignant immature intestine goblet cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.055985636,TRUE
T-helper 17 cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.062756723,TRUE
naive CD8+ T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.066194625,TRUE
vein endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.068457682,TRUE
gamma-delta T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.10193882,FALSE
T follicular helper cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.118681601,FALSE
malignant BEST4+ intestinal epithelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.135132174,FALSE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.295413772,FALSE
germinal center B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.484821175,FALSE
endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.484821175,FALSE
mature B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.485664101,FALSE
T peripheral helper,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.507898569,FALSE
intestinal tuft cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.514115245,FALSE
capillary endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.58664692,FALSE
malignant enterocyte,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,8.32E-24,TRUE
malignant intestinal epithelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,1.25E-23,TRUE
pericyte,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,2.27E-16,TRUE
cancer associated fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,7.64E-16,TRUE
endothelial tip cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,9.30E-11,TRUE
fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,1.36E-06,TRUE
monocyte,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.001025432,TRUE
natural killer cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.016239328,TRUE
malignant intestinal tuft cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.023662534,TRUE
macrophage,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.030933829,TRUE
regulatory T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.074963336,TRUE
migratory conventional dendritic cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.241751637,FALSE
innate lymphoid cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.95117356,FALSE
smooth muscle cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.29E-06,TRUE
S2 fibroblast,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.29E-06,TRUE
intestinal epithelial cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.29E-06,TRUE
enterocyte,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.29E-06,TRUE
immature intestine goblet cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.84E-06,TRUE
S3 fibroblast,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,2.41E-06,TRUE
germinal center B cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,7.15E-06,TRUE
transit amplifying cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,8.19E-06,TRUE
mature B cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,8.19E-06,TRUE
T-helper 17 cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.02E-05,TRUE
enteroendocrine cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,3.78E-05,TRUE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,6.80E-05,TRUE
plasma cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000202964,TRUE
BEST4+ intestinal epithelial cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,crc_v6,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000322938,TRUE
