Cell Typeold,Effect ID,Platform,Experiment ID,Term,platform_id,comparison_id,Estimate Up Down,stage,Group Size,Disease Name,fdr,significant
neutrophil,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.421623461,TRUE
mesenchymal cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.630885769,TRUE
Macro_C1QC,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.853464227,TRUE
stromal cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.969726563,TRUE
natural killer cell,tumor,microarray,GSE18105,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE18105__GPL570__tumor_vs_tumor_adjacent,Up,datasets,12 | 12,io_colorectal_cancer,0.969726563,TRUE
"exhausted CD8-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,4.27E-17,TRUE
regulatory T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,4.44E-14,TRUE
Tk,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,1.07E-07,TRUE
natural killer cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.21E-07,TRUE
mast cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.24E-07,TRUE
plasma cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.55E-07,TRUE
cDC3_LAMP3,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,6.89E-06,TRUE
"CD14-low, CD16-positive monocyte",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.09E-05,TRUE
Macro_IL1B,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.55E-05,TRUE
"effector memory CD8-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,2.99E-05,TRUE
"effector memory RA CD8-positive, alpha-beta T cell (TEMRA)",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000126915,TRUE
Macro_LYVE1,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.000426722,TRUE
"naive thymus-derived CD4-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.001934556,TRUE
class switched memory B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.00216012,TRUE
mature B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.002340602,TRUE
epithelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.002935528,TRUE
"CD16-positive, CD56-dim natural killer cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.004550053,TRUE
"CD8-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.008355664,TRUE
memory B cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.010107676,TRUE
cDC1_CLEC9A,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.035550166,TRUE
"CD14-positive, CD16-negative classical monocyte",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.131914742,TRUE
gamma-delta T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Down,datasets,45 | 44,io_colorectal_cancer,0.393560595,TRUE
Macro_INHBA,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,3.16E-24,TRUE
fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,1.65E-21,TRUE
cancer-associated fibroblast,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,1.14E-12,TRUE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,1.13E-10,TRUE
Tfh-Th1,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,5.60E-10,TRUE
CD8+ resident-memory T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,3.76E-09,TRUE
stromal cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,3.41E-07,TRUE
neutrophil,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,3.91E-07,TRUE
mesenchymal cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,6.40E-06,TRUE
Macro_ISG15,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,6.40E-06,TRUE
Macro_NLRP3,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,7.45E-06,TRUE
interferon-stimulated genes CD4-positive T cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.004550053,TRUE
Macro_C1QC,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.008735363,TRUE
Macro_SPP1,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.035550166,TRUE
pDC_LILRA4,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.141565356,TRUE
T-helper 17 cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.154138831,TRUE
fat cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.209718405,TRUE
endothelial cell,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.324383468,TRUE
macrophage,tumor,microarray,GSE20916,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE20916__GPL570__tumor_vs_tumor_adjacent,Up,datasets,45 | 44,io_colorectal_cancer,0.892836326,TRUE
regulatory T cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.22E-06,TRUE
Macro_LYVE1,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.22E-06,TRUE
"naive thymus-derived CD4-positive, alpha-beta T cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,3.49E-06,TRUE
"exhausted CD8-positive, alpha-beta T cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,3.49E-06,TRUE
"CD14-low, CD16-positive monocyte",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,3.49E-06,TRUE
plasma cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,4.89E-06,TRUE
"effector memory CD8-positive, alpha-beta T cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,4.89E-06,TRUE
fat cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,8.44E-06,TRUE
"effector memory RA CD8-positive, alpha-beta T cell (TEMRA)",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,1.75E-05,TRUE
class switched memory B cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000248289,TRUE
Tk,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000360818,TRUE
Macro_IL1B,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000399696,TRUE
mature B cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.000804393,TRUE
T-helper 17 cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.001734847,TRUE
memory B cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.002608635,TRUE
mast cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.002608635,TRUE
cDC1_CLEC9A,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.004485737,TRUE
macrophage,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.004616027,TRUE
Macro_SPP1,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.013233578,TRUE
endothelial cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.019481055,TRUE
cDC3_LAMP3,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.056195355,TRUE
epithelial cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.062859636,TRUE
mesenchymal cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.568669005,TRUE
stromal cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.57365261,TRUE
"CD14-positive, CD16-negative classical monocyte",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Down,datasets,24 | 24,io_colorectal_cancer,0.583806157,TRUE
fibroblast,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,1.22E-06,TRUE
CD8+ resident-memory T cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,1.22E-06,TRUE
"CD4-positive, alpha-beta T cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,4.28E-06,TRUE
cancer-associated fibroblast,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,2.07E-05,TRUE
Macro_INHBA,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,7.23E-05,TRUE
Macro_C1QC,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,0.000360818,TRUE
gamma-delta T cell,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,0.004616027,TRUE
neutrophil,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,0.011336556,TRUE
Macro_ISG15,tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,0.015386454,TRUE
"CD16-positive, CD56-dim natural killer cell",tumor,microarray,GSE25070,tumor_vs_tumor_adjacent,pan_cancer_v1,tumor__GSE25070__GPL6883__tumor_vs_tumor_adjacent,Up,datasets,24 | 24,io_colorectal_cancer,0.036801203,TRUE
